time	from	to	
3655	64	68
3662	72	74
3663	64	66
3676	72	74
3686	72	76
3687	64	66
3691	64	68
3692	64	66
3693	64	66
3693	72	74
3700	72	74
3700	72	74
3700	72	74
3703	64	66
3707	72	74
3710	64	66
3711	72	76
3713	64	66
3715	64	66
3717	72	74
3725	64	66
3728	64	66
3730	64	66
3731	72	74
3735	72	74
3737	72	74
3745	72	74
3748	72	74
3750	64	66
3751	72	76
3753	72	74
3755	72	74
3763	72	76
3773	64	66
3776	64	66
3777	64	68
3786	72	74
3789	72	74
3801	72	74
3806	72	74
3820	64	66
3829	64	68
3838	64	68
3843	64	68
3847	64	66
3849	72	74
3859	64	68
3859	72	76
3872	64	68
3876	72	74
3901	72	74
3929	64	66
3999	72	74
4030	72	74
4145	64	66
4245	64	68
4250	72	74
4252	64	68
4897	64	66
