time	from	to
3653	72	8
3653	72	8
3653	64	0
3654	64	80
3654	72	8
3654	72	76
3654	64	0
3654	64	96
3654	64	68
3654	72	8
3655	64	0
3655	72	8
3655	72	64
3655	64	96
3655	72	8
3655	72	8
3655	72	8
3655	64	80
3655	64	68
3655	96	32
3656	72	88
3656	64	0
3656	72	76
3656	64	68
3656	64	0
3657	72	76
3657	72	76
3657	64	68
3657	64	0
3657	72	8
3657	64	68
3657	72	76
3658	64	68
3658	72	76
3658	72	104
3658	72	104
3658	64	68
3658	72	8
3658	64	68
3658	64	68
3659	64	0
3659	64	68
3659	72	76
3659	72	76
3659	64	0
3659	64	0
3660	64	96
3660	72	104
3660	64	0
3660	64	0
3660	88	80
3660	72	8
3661	64	96
3661	64	68
3661	64	68
3661	64	0
3661	80	16
3662	64	96
3662	72	104
3663	64	96
3663	64	0
3663	72	76
3663	64	80
3663	72	104
3663	72	76
3663	72	8
3663	72	64
3663	64	96
3663	64	96
3663	64	96
3664	72	64
3664	64	0
3664	104	108
3664	72	8
3664	64	68
3664	72	76
3664	72	64
3664	64	0
3665	104	40
3665	64	0
3665	68	4
3666	64	80
3666	64	96
3666	64	80
3666	64	80
3666	72	104
3666	72	64
3667	64	96
3667	64	96
3667	72	8
3667	72	76
3667	72	104
3667	68	4
3668	72	8
3668	64	0
3668	64	80
3668	64	0
3668	72	76
3668	76	68
3668	64	68
3668	64	96
3668	64	0
3668	96	32
3668	72	104
3669	64	68
3669	64	0
3669	72	104
3669	64	80
3669	72	64
3669	64	0
3669	0	16
3669	64	0
3669	72	88
3669	72	8
3669	4	20
3670	72	76
3670	72	8
3670	72	76
3670	16	20
3670	64	0
3670	64	96
3671	72	76
3671	72	64
3671	72	76
3671	72	104
3671	76	68
3671	72	8
3671	72	8
3671	72	88
3672	64	80
3672	72	76
3672	64	80
3672	72	8
3672	72	76
3672	64	68
3672	64	96
3672	68	100
3672	72	88
3672	72	88
3673	64	96
3673	64	68
3673	72	76
3673	76	12
3673	64	68
3673	64	96
3673	64	68
3673	64	68
3673	64	68
3673	64	0
3673	72	76
3673	76	12
3673	100	36
3673	96	32
3674	96	32
3674	64	68
3674	64	68
3674	64	96
3674	0	16
3675	72	8
3675	72	8
3675	64	0
3675	64	0
3675	64	80
3675	88	24
3675	72	8
3675	64	0
3675	72	104
3676	64	68
3676	64	0
3676	72	64
3676	64	0
3676	72	76
3676	8	12
3676	64	96
3676	68	4
3676	64	0
3676	8	0
3676	64	0
3676	104	40
3677	64	96
3677	64	68
3677	72	64
3677	64	0
3677	64	0
3677	64	96
3677	64	80
3677	64	80
3678	72	88
3678	72	76
3678	64	96
3678	72	104
3678	72	8
3678	64	0
3678	64	68
3678	76	12
3678	96	32
3679	64	0
3679	72	76
3679	64	0
3679	72	8
3679	64	68
3679	64	0
3679	64	0
3679	64	0
3679	64	0
3680	64	0
3680	72	88
3680	72	76
3680	72	76
3681	76	12
3681	64	80
3681	0	16
3681	72	64
3681	64	0
3681	72	104
3681	72	104
3681	64	0
3682	64	68
3682	72	64
3682	64	68
3682	64	0
3682	68	4
3682	80	16
3682	64	80
3683	72	76
3683	72	8
3683	64	0
3683	72	76
3683	72	104
3683	72	104
3683	64	80
3684	72	104
3684	72	64
3684	72	8
3684	64	0
3684	72	76
3684	0	16
3685	72	64
3685	64	68
3685	72	8
3685	72	64
3686	64	0
3686	72	76
3686	64	68
3686	68	4
3686	64	0
3686	72	8
3686	72	64
3686	8	0
3686	80	16
3687	64	0
3687	64	96
3687	72	76
3687	72	76
3687	64	0
3687	72	8
3687	72	88
3688	72	8
3688	72	8
3688	64	0
3688	64	0
3688	64	80
3688	72	104
3688	72	64
3689	72	104
3689	64	0
3689	0	4
3689	72	64
3689	72	8
3689	72	104
3689	0	16
3690	64	96
3690	64	0
3690	72	104
3690	64	0
3690	64	68
3690	64	0
3691	68	4
3691	72	8
3691	64	0
3691	72	8
3691	64	0
3691	64	0
3691	72	64
3691	8	24
3692	64	0
3692	72	88
3692	64	0
3692	64	0
3692	64	96
3692	64	0
3692	72	8
3692	72	8
3692	72	64
3693	72	88
3693	72	8
3693	72	76
3693	0	4
3693	88	80
3693	72	76
3693	64	80
3693	72	76
3693	64	68
3693	64	0
3693	64	0
3693	64	0
3694	4	20
3694	72	104
3694	80	16
3694	64	68
3694	72	76
3694	72	76
3694	64	0
3694	64	0
3695	64	0
3695	64	68
3695	72	8
3695	0	16
3695	64	96
3695	64	0
3695	0	32
3695	64	0
3696	72	104
3696	72	8
3696	64	96
3696	64	68
3696	72	88
3696	72	104
3696	72	8
3696	0	32
3696	72	8
3696	72	104
3696	72	8
3697	0	32
3697	64	0
3697	64	0
3697	64	0
3697	64	68
3697	64	68
3697	72	76
3697	64	68
3697	64	0
3697	64	96
3697	0	32
3698	72	76
3698	72	8
3698	64	0
3698	72	76
3698	64	0
3698	64	0
3698	72	64
3698	64	0
3698	72	88
3698	8	40
3699	64	80
3699	64	68
3699	72	76
3699	64	0
3699	72	76
3699	72	8
3699	72	76
3700	64	0
3700	64	96
3700	72	76
3700	72	64
3700	64	68
3700	72	8
3700	76	108
3700	88	120
3700	0	16
3701	72	8
3701	72	76
3701	0	16
3701	76	12
3701	64	0
3701	68	4
3701	64	0
3702	64	96
3702	64	96
3702	72	104
3702	72	76
3702	64	96
3702	72	8
3702	64	80
3702	72	8
3703	64	68
3703	64	68
3703	64	68
3703	72	8
3703	72	76
3703	72	76
3703	64	0
3704	64	80
3704	72	76
3704	72	104
3704	12	28
3705	72	8
3705	64	0
3705	72	104
3705	72	76
3705	72	64
3705	64	0
3705	80	16
3706	64	80
3706	16	48
3706	64	80
3706	104	40
3706	72	8
3706	64	68
3706	72	88
3706	68	100
3706	64	96
3707	64	80
3707	64	80
3707	72	76
3707	64	0
3708	72	8
3708	64	80
3708	64	96
3708	72	8
3708	64	0
3709	72	104
3709	72	8
3709	64	80
3709	72	76
3709	64	68
3709	72	76
3709	72	76
3709	64	0
3709	64	96
3709	8	24
3709	64	0
3710	72	8
3710	72	8
3710	64	96
3710	72	8
3710	64	0
3711	72	8
3711	72	76
3711	64	68
3711	72	8
3711	72	104
3711	64	68
3711	76	68
3711	64	0
3711	64	0
3711	64	0
3712	72	8
3712	64	96
3712	72	64
3712	72	64
3712	72	76
3712	64	68
3712	72	64
3712	72	76
3712	64	0
3712	72	8
3712	64	80
3713	64	68
3713	64	96
3713	64	80
3713	72	104
3713	72	76
3713	64	96
3713	64	96
3713	72	64
3713	96	32
3713	64	0
3713	64	0
3714	72	76
3714	72	76
3714	72	76
3714	72	76
3714	64	68
3714	64	0
3714	104	40
3715	72	8
3715	96	100
3715	72	76
3715	64	0
